track_id,track_name,artist_name,album_name,chart_market,track_genre,artist_genre,price,price_tier,release_date,chart_date,days_since_release,release_category,loaded_at
1817609509,Man I Need,Olivia Dean,The Art of Loving,us,Pop,Pop,1.29,premium,2025-09-26,2026-04-10 15:35:58.377468,196.0,recent,2026-04-10 08:36:01.910
1891104596,Afterlife,Evanescence,Sanctuary,us,Rock,Rock,1.29,premium,2025-03-28,2026-04-10 15:35:58.377477,378.0,catalogue,2026-04-10 08:36:01.910
1799727554,Let Him In Anyway,Blake Shelton,For Recreational Use Only,us,Country,Country,1.29,premium,2025-03-14,2026-04-10 15:35:58.377482,392.0,catalogue,2026-04-10 08:36:01.910
1838737598,WHERE IS MY HUSBAND!,RAYE,WHERE IS MY HUSBAND! - Single,us,Pop,Pop,0.99,standard,2025-09-19,2026-04-10 15:35:58.377490,203.0,recent,2026-04-10 08:36:01.910
267537169,Iris,The Goo Goo Dolls,"Greatest Hits, Vol. One: The Singles",us,Rock,Rock,1.29,premium,1998-03-31,2026-04-10 15:35:58.377498,10237.0,catalogue,2026-04-10 08:36:01.910
1887978274,The Jesus I Know Now,Brandon Lake & Lainey Wilson,The Jesus I Know Now - Single,us,Christian,Christian,1.29,premium,2026-04-03,2026-04-10 15:35:58.377506,7.0,new_release,2026-04-10 08:36:01.910
1820264150,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),us,K-Pop,K-Pop,1.29,premium,2025-06-19,2026-04-10 15:35:58.377514,295.0,recent,2026-04-10 08:36:01.910
1866732797,Risk It All,Bruno Mars,The Romantic,us,Pop,Pop,0.69,standard,2026-02-27,2026-04-10 15:35:58.377522,42.0,recent,2026-04-10 08:36:01.910
1817609507,So Easy (To Fall In Love),Olivia Dean,The Art of Loving,us,Pop,Pop,1.29,premium,2025-09-26,2026-04-10 15:35:58.377527,196.0,recent,2026-04-10 08:36:01.910
1890389605,Dreaming Of You,Eddie Dalton,The Years Between,us,Blues,Blues,0.99,standard,2026-04-01,2026-04-10 15:35:58.377532,9.0,new_release,2026-04-10 08:36:01.910
1869436848,Bottom Of Your Boots,Ella Langley,Dandelion,us,Country,Country,1.29,premium,2026-04-10,2026-04-10 15:35:58.377537,0.0,new_release,2026-04-10 08:36:01.910
1877978274,Joy,Dogstar,All In Now,us,Alternative,Alternative,1.29,premium,,2026-04-10 15:35:58.377542,,catalogue,2026-04-10 08:36:01.910
1879596115,Freakin’ Out,Dexter and The Moonrocks,Freakin’ Out - Single,us,Rock,Rock,1.29,premium,2026-03-11,2026-04-10 15:35:58.377550,30.0,new_release,2026-04-10 08:36:01.910
1884960541,Running To You,Eddie Dalton,Running To You - Single,us,Blues,Blues,0.99,standard,2026-03-14,2026-04-10 15:35:58.377558,27.0,new_release,2026-04-10 08:36:01.910
1890468637,VALHALLA CALLING,Ragal Ironbull,VALHALLA CALLING - Single,us,Folk,Folk,0.99,standard,2026-04-03,2026-04-10 15:35:58.377563,7.0,new_release,2026-04-10 08:36:01.910
1882102200,Lions At The Gate (feat. Tom Morello),Peter Frampton,Carry The Light,us,Rock,Rock,1.29,premium,,2026-04-10 15:35:58.377571,,catalogue,2026-04-10 08:36:01.910
1862634694,Days Like These,Luke Combs,The Way I Am,us,Country,Country,1.29,premium,2025-10-02,2026-04-10 15:35:58.377589,190.0,recent,2026-04-10 08:36:01.910
1869436853,Broken,Ella Langley,Dandelion,us,Country,Country,1.29,premium,2026-04-10,2026-04-10 15:35:58.377595,0.0,new_release,2026-04-10 08:36:01.910
1888685262,Not for me,IngaRose,Not for me - Single,us,Blues,Blues,0.99,standard,2026-03-27,2026-04-10 15:35:58.377668,14.0,new_release,2026-04-10 08:36:01.910
1863814124,On Our Way Along,Billy Ray Cyrus & Noah Cyrus,On Our Way Along - Single,gb,Country,Country,0.99,standard,2026-04-03,2026-04-10 15:35:58.512517,7.0,new_release,2026-04-10 08:36:01.910
1890222345,Who Will You Follow,Evanescence,Sanctuary,gb,Rock,Rock,0.99,standard,,2026-04-10 15:35:58.512522,,catalogue,2026-04-10 08:36:01.910
1879983789,FEVER DREAM,Alex Warren,FEVER DREAM - Single,gb,Pop,Pop,0.99,standard,2026-03-13,2026-04-10 15:35:58.512529,28.0,new_release,2026-04-10 08:36:01.910
1890222707,Afterlife,Evanescence,Sanctuary,gb,Rock,Rock,0.99,standard,2025-03-28,2026-04-10 15:35:58.512540,378.0,catalogue,2026-04-10 08:36:01.910
1886119370,My Mess,Myles Smith,"My Mess, My Heart, My Life.",gb,Singer/Songwriter,Singer/Songwriter,0.99,standard,,2026-04-10 15:35:58.512546,,catalogue,2026-04-10 08:36:01.910
1838810951,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,gb,Pop,Pop,0.99,standard,2025-10-03,2026-04-10 15:35:58.512550,189.0,recent,2026-04-10 08:36:01.910
1878015314,New Religion,Bebe Rexha & Faithless,New Religion - Single,gb,Dance,Dance,0.59,standard,2026-03-06,2026-04-10 15:35:58.512561,35.0,recent,2026-04-10 08:36:01.910
1884898399,LET ME BE,The Second Voice,LET ME BE - Single,gb,Dance,Dance,0.99,standard,2026-01-25,2026-04-10 15:35:58.512568,75.0,recent,2026-04-10 08:36:01.910
1870984036,American Girls,Harry Styles,"Kiss All The Time. Disco, Occasionally.",gb,Pop,Pop,0.99,standard,2026-03-06,2026-04-10 15:35:58.512572,35.0,recent,2026-04-10 08:36:01.910
1887385342,"Younger You (From the ""Hannah Montana 20th Anniversary Special"")",Miley Cyrus,"Younger You (From the ""Hannah Montana 20th Anniversary Special"") - Single",gb,Pop,Pop,0.99,standard,2026-03-27,2026-04-10 15:35:58.512578,14.0,new_release,2026-04-10 08:36:01.910
1838810953,Opalite,Taylor Swift,The Life of a Showgirl,gb,Pop,Pop,0.59,standard,2025-10-03,2026-04-10 15:35:58.512582,189.0,recent,2026-04-10 08:36:01.910
1871595253,Homewrecker,sombr,Homewrecker - Single,gb,Pop,Pop,0.99,standard,2026-02-05,2026-04-10 15:35:58.512584,64.0,recent,2026-04-10 08:36:01.910
1828036635,12 to 12,sombr,12 to 12 - Single,gb,Indie Rock,Pop,0.59,standard,2025-07-24,2026-04-10 15:35:58.512588,260.0,recent,2026-04-10 08:36:01.910
1887979317,Flowers,Blue,Flowers - Single,gb,Pop,Pop,0.99,standard,,2026-04-10 15:35:58.512591,,catalogue,2026-04-10 08:36:01.910
1874672062,Just The Way You Are,Milky,Just The Way You Are - Single,gb,Dance,Dance,0.59,standard,2002-01-01,2026-04-10 15:35:58.512595,8865.0,catalogue,2026-04-10 08:36:01.910
